Name_source,Name_English,Name_Indo,Name_Other,Manager,Investor_1,Investor_2,Sources
Kawasan Industri EFI,,Kawasan Industri EFI,,PT. Emerald Ferrochromium Industry,,,"https://harianhalmahera.com/halut/300-karyawan-pt-emerald-dirumahkan/
https://harianhalmahera.com/halut/kasus-pt-emerald-masuk-tahap-pembuktian/
https://harianhalmahera.com/halut/pt-emerald-digugat-pengrusakan-lahan/
https://harianhalmahera.com/halut/terancam-bayar-rp3-miliar-pt-emerald-minta-mediasi-ulang/
https://harianhalmahera.com/halut/sengketa-lahan-pt-emerald-tunggu-putusan/
https://harianhalmahera.com/halut/negosiasi-penentu-operasi-pt-emerald/
https://perusahaan.net/detail/mEKj0/Emerald-Ferrochromium-Industry/
(Broken) https://www.bpkp.go.id/berita/read/36654/0/BPKP-Malut-Kawal-Percepatan-Pelaksanaan-PSN-PT-AMI
https://beritasumbernews.com/2021/07/rapat-kedua-antara-forkopimda-halut-dan-pt-efi-kembali-di-gelar/
https://nikel.co.id/meidy-katrin-lengkey-hulu-dan-hilir-nikel-beroperasi-mendorong-pertumbuhan-ekonomi/
(Broken) https://www.nickelmagazine.com/2022/04/smelter-industrial-area.html?m=1
https://penamalut.com/2021/08/18/harga-ganti-rugi-lahan-rendah-pt-efi-tidak-manusiawi/
https://www.picuki.com/media/2255264927910919163
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://kalesang.id/2023/05/19/kpk-bongkar-kasus-suap-lahan-pt-efi-di-halmahera-utara-maluku-utara/"
Kawasan Industri Tanjung Buton (KITB),,Kawasan Industri Tanjung Buton (KITB),,PT. Kawasan Industri Tanjung Buton,,,"https://infopublik.id/kategori/nusantara/683510/produsen-kendaraan-udara-elektrik-indonesia-tertarik-investasi-di-kitb
https://pekanbaru.tribunnews.com/2022/02/02/rdtr-kawasan-industri-tanjung-buton-hampir-valid
https://www.riau1.com/berita/riau/1660192304-pengembangan-kawasan-industri-tanjung-buton-calon-investor-jumpai-wabup-siak
https://kppip.go.id/en/national-strategic-projects/s-priority-industry-zone-development-special-economic-zone/tanjung-buton-industrial-zone/
https://regionalinvestment.bkpm.go.id/pir/peluang-investasi/detail/?id=928
https://jakartaglobe.id/business/malaysias-bgmc-corp-to-invest-1b-in-port-industrial-development-in-riau
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 6/10/23) https://web.archive.org/web/20230610032240/https://pu.go.id/berita/ekspose-rencana-pembangunan-unit-air-baku-dan-ipa-kawasan-industri-tanjung-butonhttps://www.tribunnews.com/bisnis/2022/11/10/industri-pesawat-tenaga-listrik-akan-dibangun-di-kabupaten-siak-nilai-investasi-capai-rp150-triliun"
Kawasan Industri Dumai,,Kawasan Industri Dumai,,PT. Kawasan Industri Dumai,,,"https://www.halloriau.com/read-dumai-150496-2021-07-30-pt-wilmar-dumai-belum-kantongi-izin-ini-penjelasan-dpmptsp.html
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://kawasanindustridumai.co.id/infrastructure/
https://www.jpnn.com/news/datangi-kawasan-industri-dumai-irjen-iqbal-ultimatum-pengusaha-nakal-migor?page=2
https://ekonomi.bisnis.com/read/20171115/44/709364/pln-memasok-listrik-60-mva-ke-kawasan-industri-dumai"
Kawasan Industri Tenayan,,Kawasan Industri Tenayan,,PT. Sarana Pembangunan Pekanbaru,,,"https://www.riauonline.co.id/kota-pekanbaru/read/2023/07/21/kawasan-industri-tenayan-belum-dilirik-investor-lelang-nasional-dirut-bumd-segera-dibuka
https://finance.detik.com/energi/d-3374307/penampakan-pltu-tenayan-2x110-mw-pembangkit-anyar-di-pinggiran-kota-pekanbaru
https://www.industry.co.id/read/107019/pltgu-di-kawasan-industri-tenayan-riau-beroperasi-daya-kelistrikan-sumatera-bakal-naik-jadi-7266-mw
https://riaupos.jawapos.com/pekanbaru/19/06/2021/252407/pemko-harus-serius-bangun-kawasan-industri-tenayan.html
https://www.wartasuluh.com/kawasan-industri-tenayan-perjalanan-panjang-wujudkan-mimpi-jadi-nyata
https://pekanbarukini.com/pemko-pekanbaru-optimis-kawasan-industri-tenayan-jadi-gerbang-industri-ekonomi-nasional
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://infopublik.id/kategori/nusantara/605455/beberapa-investor-berminat-bangun-pabrik-di-kawasan-industri-tenayan?show=
https://infopublik.id/kategori/nusantara/468985/index.html
https://www.gem.wiki/Riau_(MRPR)_power_station
https://www.gem.wiki/Pekanbaru_Tenayan_power_station"
Kawasan Industri Tanjung Enim,,Kawasan Industri Tanjung Enim,,PT. Bukit Asam,, China Huadian Hongkong Company Ltd,"https://www.cnbcindonesia.com/news/20220124104719-4-309824/akhirnya-jokowi-resmikan-proyek-batu-bara-jadi-dme-di-sumsel
https://www.republika.co.id/berita/pnsklw370/empat-pabrik-hilirisasi-di-tanjung-enim-selesai-2022
https://www.ptba.co.id/news/ptba-supports-biomass-development-for-cofiring-pltu-in-south-sumatra-1593
https://www.ptba.co.id/uploads/ptba_laporan_tahunan/20220426211854-2022-04-26ptba_laporan_tahunan211705.pdf 
https://www.energymonitor.ai/sectors/industry/a-us-company-is-quietly-building-a-massive-coal-to-gas-plant-in-indonesia/
https://www.merdeka.com/uang/ptba-masih-tunggu-perpres-untuk-gasifikasi-batubara-jadi-dme.html
https://katadata.co.id/lavinda/berita/645523f22b463/ptba-tagih-realisasi-kawasan-industri-khusus-untuk-gaet-investor-hilir
https://bestpower1.co.id/about-us1/
https://www.gem.wiki/Bangko_Tengah_power_station
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://regionalinvestment.bkpm.go.id/pir/peluang-investasi/detail/?id=1128
https://www.ptba.co.id/ 
(Broken) https://www.bpkp.go.id/berita/readunit/18/46825/0/BPKP-Su"
Kawasan Industri Lampung (KAIL) / Kawasan Industri Tanjung Bintang Lampung,,Kawasan Industri Lampung (KAIL),Kawasan Industri Tanjung Bintang Lampung,PT. Kawasan Industri Lampung,,,"https://123dok.com/document/dzx394dz-strategi-pengembangan-kawasan-industri-lampung-kail.html
https://digilib.unila.ac.id/4493/15/BAB%20I.pdf
https://www.youtube.com/watch?v=EwCj5SJRJWo&ab_channel=novatriadchannel
https://lampung.tribunnews.com/2014/10/31/kawasan-industri-lampung-masih-stagnan
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan"
Kawasan Industri Waylaga Bizpark,,Kawasan Industri Waylaga Bizpark,,PT. Griya Lestari Jaya,,,"https://m.lenews.id/berita/detail/kawasan-industri-way-laga-bizpark-dongkrak-investasi-bandarlampung
https://www.youtube.com/@waylagabizparkteamofficial1292/featured
https://muhtadi71.wordpress.com/2020/12/01/kawasan-industri-dan-pergudangan-way-laga-bizpark-kota-bandar-lampung/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 2/9/20) https://web.archive.org/web/20200209173500/http://www.griyalestarijaya.com/"
Kawasan Industri Sadai/ Sadai Integrated Industrial and Port Estate (SIIPE),Sadai Integrated Industrial and Port Estate (SIIPE),Kawasan Industri Sadai,,PT. Ration Bangka Abadi,,,"https://regional.kompas.com/read/2022/10/26/133737178/dikunjungi-jokowi-pembangunan-kawasan-industri-sadai-di-bangka-selatan?page=all
https://babelterkini.com/2022/04/17/setelah-dua-tahun-begini-rupa-mega-proyek-kawasan-industri-sadai/
(Broken)https://babelprov.go.id/berita_detil/percepatan-penyiapan-infrastruktur-air-baku-untuk-menunjang-kawasan-industri-sadai
(Archived link, 3/21/23) https://web.archive.org/web/20230321205101/https://forumkeadilanbabel.com/2022/04/18/setelah-dua-tahun-dibangun-begini-rupa-mega-proyek-triliunan-kawasan-industri-sadai-dan-sekitarnya/
https://amka.co.id/amka-turut-berkontribusi-dalam-pembangunan-infrastruktur-di-kawasan-industri-sadai/
https://bisnis.tempo.co/read/1684871/bank-indonesia-catat-aliran-modal-asing-masuk-ri-rp-442-t
(Archived link, 6/29/22) https://web.archive.org/web/20220629105444/https://bppppd.bangkaselatankab.go.id/assets/img/content/PDF/BAHAN%20FGD%20INFRASTRUKTUR%20SADAI.pdf
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://ajaib.rcdevgames.net/berita/proyek/sadai-integrated-industrial-and-port-estate-siipe
https://babeltoday.com/apa-kabar-proyek-kawasan-industri-sadai-bernilai-triliunan-miliaran-dana-negara-terancam-bakal-terbuang-percuma/
https://industri.kontan.co.id/news/ini-jurus-maharaksa-biru-oasa-jadi-pemain-utama-energi-bersih-berbasis-biomassa#google_vignette
https://finance.detik.com/foto-bisnis/d-7053313/potret-pembangunan-pltbm-di-bangka-belitung/1"
Pulahan Seruwai Industrial Estate,Pulahan Seruwai Industrial Estate,,,PT. Lamhotma,,,"https://estate.nikkan.co.jp/info/pulahan-seruai-industrial-estate
(Broken) https://www.bkpm.go.id/images/uploads/investasi_indonesia/file/Data_of_Major_Indonesia_Industrial_Estate_North_Sumatera.pdf
https://putusan3.mahkamahagung.go.id/search.html/?q=seruwai
https://thegeckoproject.org/articles/six-takeaways-from-our-investigation-into-indonesias-plasma-scheme/
https://orbitdigitaldaily.com/mediasi-gagal-sengketa-lahan-antara-petani-dengan-pt-pulahan-seruai-terus-berlanjut/
https://orbitdigitaldaily.com/dumas-koptan-sejahtera-laporkan-pt-pulahan-seruwai-kapolres-asahan-berjanji-proses-secara-profesional/ 
https://sumut.wahananews.co/nusantara/ng-siong-ho-seharusnya-lahan-itu-sudah-di-eksekusi-pengadilan-dan-dikembalikan-ke-pt-pulahan-seruwai-gH1Bol8FLA/1#post_wahana 
(Broken) https://balainews.co.id/2022/04/06/warga-duduki-kembali-lahan-pt-pulahan-seruwai-pasca-pt-pulahan-kalah-gugatan-di-ptun/
https://www.hariansib.com/detail/Marsipature-Hutanabe/Kejari-Asahan-Terima-SPDP-Lima-Tersangka-Terkait-Kasus-PT-Pulahan-Seruwai
https://analisadaily.com/berita/baca/2022/06/27/1031880/masyarakat-hadang-karyawan-pt-pulahan-seruwai-panen-tbs/
https://www.hariansib.com/detail/Headlines/Dihadang-Sekelompok-Masyarakat--Karyawan-PT-Pulahan-Seruwai-Terkendala-Manen-Sawit/3 
(Archived link, 8/7/22) https://web.archive.org/web/20220807182513/https://www.sumut24.co/menang-di-ptun-medan-amad-bandung-cs-kembali-gugat-pt-pulahan-seruwai-di-pn-kisaran/
(Archived link, 8/31/22) https://web.archive.org/web/20220831154554/https://waspada.co.id/2022/08/kementerian-atr-bpn-tolak-gugatan-pt-pulahan-seruwai/
https://suarapersada.com/diduga-ada-dukpal-pengusulan-plasma-pt-pulahan-seruwai-maspera-akan-lapor-polisi/
https://www.utamanews.com/sosial-budaya/Pengusulan-Plasma-PT-Pulahan-Seruwai-Diduga-Palsu--Maspera-Akan-Lapor-Polisi 
(Broken) https://www.sumut24.co/konflik-sosial-terkait-upaya-penyerobotan-lahan-di-pt-pulahan-seruwai/
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate"
Takalar Integrated Industrial Park (TIIP),Takalar Integrated Industrial Park (TIIP),,,PT. Kawasan Berikat Nusantara,,,"http://kbn.co.id/article/kbn-pastikan-takalar-integrated-industrial-park-jalan-terus-NTk2NA==
https://kppip.go.id/proyek-strategis-nasional/s-pembangunan-kawasan-industri-prioritas-kawasan-ekonomi-khusus/kawasan-industri-takalar/ 
https://ekonomi.bisnis.com/read/20201119/45/1319946/realisasikan-proyek-kawasan-industri-takalar-kbn-siap-cari-mitra  
https://investor.id/business/249442/kbn-mulai-nego-pembebasan-lahan-di-takalar
(Archived link, 2/1/24) https://web.archive.org/web/20240201094211/https://www.bpkp.go.id/berita/readunit/32/28339/0/BPKP-Sulsel-kawal-pengadaan-lahan-Takalar-Integrated-Industrial-Park-TIIP
https://harian.fajar.co.id/2022/02/03/pemkab-takalar-fokus-wujudkan-industrial-park/
https://www.rri.co.id/bisnis/295179/nasib-kawasan-industri-takalar-jelang-akhir-masa-jabatan-jokowi
https://www.instagram.com/p/CP65PoPjVD4/?igsh=dzJjbXBlZzJ0Mm5s 
"
Bintang Industrial Park II,Bintang Industrial Park II,,,PT. Bintang Propertindo,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
(Broken, linking to archived site home, 8/5/2023) https://web.archive.org/web/20230805023637/https://www.parksguru.com/
https://www.youtube.com/watch?v=olhSoRFPlMM&ab_channel=HendriWijaya
(Archived link, 2/5/24) https://web.archive.org/web/20240205071029/https://www.bintangindustri.com/project
https://business-indonesia.org/files/estates/91Cql48WlrvOOHxnLUZkCXS6Ej3ZKmdV5PYaGp8q.pdf"
Kawasan Industri Candi,,Kawasan Industri Candi,,Unclear,,,"https://izin.semarangkota.go.id/kawasan
https://directorsdirectory.com/candi-industrial-estate/
(Broken) https://parksguru.com/parks/6558891845043097600
https://ppid.dpmptsp.jatengprov.go.id/sarpras/1/32
https://www.mobilinanews.com/artikel/43657/Dakar-2023-Honda-Finish-1-2-di-Stage-5-Husqvarna-dan-KTM-Pegang-Kendali-di-Kelas-Motor/
https://banyumas.tribunnews.com/2023/01/10/pabrik-pengeringan-kayu-di-kawasan-industri-candi-terbakar-kerugian-capai-rp3-miliar
https://joglojateng.com/2023/07/13/polemik-asap-hitam-dari-kawasan-industri-candi-semarang/"
Delma Industrial Park,Delma Industrial Park,,,PT. Delma Mining Corporation,,,"https://www.gem.wiki/Delma_Mining_Corporation_coal_mine 
https://ekonomi.bisnis.com/read/20120110/44/59405/delma-patok-produksi-50-dot-000-ton-batu-bara
https://www.reuters.com/article/asiaresourceminerals-chairman/update-1-asia-resource-minerals-replaces-chairman-after-investor-revolt-idUSL4N0P83QH20140627
https://industri.kontan.co.id/news/delma-mining-corp-tidak-setuju-hitungan-royalti
https://hki-industrialestate.com/members 
(Broken) https://www.bkpm.go.id/images/uploads/investasi_indonesia/file/Data_of_Major_Indonesia_Industrial_Estate_East_Kalimantan.pdf
(Archived link, 3/27/20) https://web.archive.org/web/20200327165253/https://industrialestateindonesia.com/files/provinces/3u2oOicvbaCEy7BiDL5mXi4vrwK6SAaRYNBkRk4V.pdf
https://estate.nikkan.co.jp/info/delma-industrial-park 
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
(Broken) http://delmamining.co.id/"
Kawasan Industri Suge,,Kawasan Industri Suge,,Unclear,PT. Billiton Plywood,,"(Archived link, 3/2/22) https://web.archive.org/web/20220302203326/https://babel.kemenkumham.go.id/berita-utama/divim-kanwil-kemenkumham-babel-lakukan-pendataan-orang-asing-di-wilayah-kabupaten-belitung
https://belitung.tribunnews.com/2022/09/01/bupati-sanem-resmikan-kawasan-industri-di-pegantungan
https://mediaindonesia.com/nusantara/27453/pabrik-pertama-di-kawasan-industri-belitung-diresmikan
https://dpmptsp.babelprov.go.id/content/sektor-perindustrian-dan-perdagangan
https://jdih.belitung.go.id/index.php/produk-daerah-view/perda/37/rencana-detail-tata-ruang-kawasan-industri-suge-kabupaten-belitung-tahun-2001-2010 (spatial planning on last page)
https://setda.belitung.go.id/bupati-belitung-resmikan-kawasan-pabrik-pt-mitra-propindo-lestari/
(Archived link 9/9/16) https://web.archive.org/web/20160909200509/https://www.bkpm.go.id/images/uploads/investasi_indonesia/file/Data_of_Major_Indonesia_Industrial_Estate_Bangka_Belitung.pdf
https://babel.antaranews.com/berita/89245/pemkab-belitung-gelar-rakor-pengembangan-kawasan-industri-suge
https://belitung.tribunnews.com/2018/12/18/bupati-belitung-tinjau-pembangkit-listrik-5-mw-berbahan-bakar-minyak-kelapa-sawit
https://investor.id/business/120956/kawasan-soge-potensial-tarik-investasi-bangka-belitung "
Bantaeng Industrial Park (BIP),Bantaeng Industrial Park (BIP),,,PT. Huadi Investment Group,,,"(Broken) https://www.nickelmagazine.com/2022/04/smelter-industrial-area.html?m=1
https://news.mongabay.com/2022/11/sulawesi-nickel-plant-coats-nearby-homes-in-toxic-dust/
https://www.mongabay.co.id/2022/09/08/nestapa-warga-terdampak-kawasan-industri-bantaeng/
(Broken) https://www.kabarmakassar.com/posts/view/21080/envision-group-rancang-kawasan-industri-nol-karbon-di-bantaeng.html
https://sulsel.idntimes.com/news/sulsel/sahrul-ramadan-1/warga-protes-dampak-aktivitas-kawasan-industri-bantaeng?page=all
https://redaksibaru.id/2022/03/23/pembangunan-tiga-pembangkit-listrik-di-bantaeng-masuki-tahap-survei-lokasi/
https://business-indonesia.org/files/estates/IKC8n2PC6n5j5dcfYtDWV1WVS0o9bjF9402VhtLI.pdf
https://www.gem.wiki/Banten_BSE_power_station
https://web.pln.co.id/media/2022/08/dukung-industri-pengolahan-mineral-pln-siap-pasok-listrik-80-mva-ke-smelter-di-bantaeng
(Archived link, 5/16/19) https://web.archive.org/web/20190516050542/https://www.bantaeng-industrialpark.com/
https://www.seaisi.org/details/1582?type=technology-steel-applications
https://voi.id/en/economy/197366
https://www.gem.wiki/Bantaeng_LNG_power_station"
Dragon Industrial Park,Dragon Industrial Park,,,Bok Lam ,PT. Hunting Energy Asia,,"https://mapcarta.com/N760553555
(Broken) http://www.hunting-intl.com/asia-pacific/indonesia/batam?menu=qahse
https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf"
Horizon Industrial Park,Horizon Industrial Park,,,"PT. Lindungi Alam Batam , Citra Buana Group",,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://citrabuanaprakarsa.com/wp-content/uploads/2020/03/E-Brochure-Horizon.pdf.zip
https://citrabuanaprakarsa.com/horizon-industrial-park/"
Lytech Industrial Park,Lytech Industrial Park,,,PT. Kapital Putra Raya,,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
(Archived links, 7/5/22) https://web.archive.org/web/20220705130952/https://pusbang.bpbatam.go.id/detailpost/profil-lytech-industrial-park 
https://www.batamnews.co.id/berita-89341-jadwal-pemadaman-bergilir-pln-batam-senin-30-mei-2022.html#google_vignette"
Nongsa Digital Park,Nongsa Digital Park,,, PT. Taman Resor Internet,Gaw Capital Partners,,"https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://www.datacenterdynamics.com/en/news/data-center-first-to-break-ground-on-first-batam-data-center/
https://www.kompas.com/properti/read/2021/06/13/200000121/kek-nongsa-digital-park-ditargetkan-kerek-investasi-rp-16-triliun?page=all
https://www.nongsadigital.com/
https://metro.batampos.co.id/pln-batam-siap-penuhi-kebutuhan-listrik-kek-nongsa-digital-park/
https://angkaberita.id/2024/01/26/sinergi-dengan-tamarin-pln-batam-resmi-pasok-listrik-nongsa-digital-park/
https://www.kompas.com/properti/read/2023/07/01/200000621/data-centre-tier-3-di-kek-nongsa-digital-park-punya-kapasitas-40-mw"
Kalimantan Industrial Park Indonesia (KIPI) / Kawasan Industri Hijau Indonesia (KIHI),Kalimantan Industrial Park Indonesia (KIPI),Kawasan Industri Hijau Indonesia (KIHI),,"PT. Kalimantan Industrial Park Indonesia (KIPI), PT Indonesia Strategis Industri (ISI), PT Kayan Patria Propertindo (KPP) (as of 2022)",Tsingshan,Taikun Petro Chemical,"https://infopublik.id/kategori/nusantara/701822/kunjungi-kipi-wabup-dan-tim-lakukan-evaluasi
https://kilasdaerah.kompas.com/kalimantan-utara/read/2022/10/28/11450601/mengenal-lebih-dekat-perjalanan-kawasan-industri-raksasa-di-kaltara
https://katadata.co.id/happyfajrian/ekonomi-hijau/633ff25058af9/kawasan-industri-akan-dipasok-listrik-ebt-demi-tingkatkan-nilai-produk
https://korankaltara.com/7-investor-dikeluarkan-dari-kipi-tanah-kuning-mangkupadi
https://korankaltara.com/kipi-dan-kihi-memiliki-pengertian-sama
https://www.neraca.co.id/article/168461/bangun-smelter-aluminium-adaro-minerals-kuras-kocek-rp-163-triliun
https://dephub.go.id/post/read/menhub-pastikan-kelancaran-perizinan-pembangunan-pelabuhan-kawasan-industri-kaltara
https://katadata.co.id/tiakomalasari/berita/62b4346b08c50/pemerintah-kembangkan-kawasan-industri-di-kaltara-bakal-dihuni-ford
https://www.teslarati.com/tesla-indonesia-battery-plant-location/
https://www.industry.co.id/read/104950/teken-komitmen-investasi-capai-usd-728-juta-adaro-bakal-bangun-smelter-aluminium-di-kawasan-industri-hijau
https://asia.nikkei.com/Economy/Indonesia-s-newest-province-chases-132bn-industrial-dream
https://www.kompas.com/properti/read/2021/12/22/163000421/kawasan-industri-hijau-mulai-dibangun-di-kaltara-apa-itu-?page=2
https://www.kominfo.go.id/content/detail/38900/presiden-groundbreaking-kawasan-industri-hijau-indonesia/0/berita
https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/wshd_665389/202211/t20221117_10976707.html
(Archived link, 3/14/23) https://web.archive.org/web/20230314002433/https://petrominer.com/teken-mou-dengan-adaro-komitmen-iklim-hyundai-dipertanyakan/
https://tanahair.net/kayan-river-hydropower-source-of-green-energy-at-kipi/
https://www.reuters.com/business/energy/indonesia-president-breaks-ground-construction-26-bln-hydropower-plant-2023-03-01/
https://www.ft.com/content/214da7e7-c858-452c-9aff-e6dab9b805e4
https://news.mongabay.com/2023/06/indonesian-coal-giant-adaros-sustainable-smelter-slammed-as-greenwashing/
(Archived link, 3/29/24) https://web.archive.org/web/20240329043346/https://www.adaro.com/files/news/berkas_eng/2206/Information%20Disclosure%20Signing%20Facility%20Agreements.pdf
(Archived link, 102/23) https://web.archive.org/web/20231002215935/https://www.ptkhn.com/news/indonesia-president-joko-widodo-breaks-ground-on-construction-of-mentarang-induk-hydroelectric-plant-the-largest-plta-in-indonesia-with-a-capacity-of-1375-mw/
https://asia.nikkei.com/Business/Energy/Japan-s-Sumitomo-joins-17.8bn-Indonesia-hydropower-project
https://www.ft.com/content/1a8c599c-cd56-4b94-85fd-7d9d398312eb
https://tanahair.net/kayan-hydro-energy-resuming-9000-mw-hydropower-project/
https://www.business-humanrights.org/en/latest-news/indonesia-chinese-backed-hydropower-plant-supplying-electricity-to-new-capital-raises-displacement-and-environmental-concerns-among-indigenous-communities-on-kayan-river/
https://apnews.com/article/indonesia-green-industrial-park-coal-09361a5098d6540d4ae3a1805b137788
https://www.rfa.org/english/news/china/indonesia-china-borneo-03012023014556.html
https://en.antaranews.com/news/274161/bulungan-kipi-future-of-green-industry-widodo
(Broken) https://www.adaro.com/files/news/berkas_eng/2146/ADRO%20ADMR%20Sept%202022.pdf
(Archived link, 3/29/24) https://web.archive.org/web/20240329043346/https://www.adaro.com/files/news/berkas_eng/2206/Information%20Disclosure%20Signing%20Facility%20Agreements.pdf
https://www.apindokaltara.com/berita/read/kipi-akan-gandeng-pengusaha-lokal-kaltara
https://www.gem.wiki/Adaro_Aluminum_Smelter_power_station
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://www.reuters.com/business/energy/indonesia-president-breaks-ground-construction-26-bln-hydropower-plant-2023-03-01/"
KEK Galang Batang / Kawasan Industri Galang Batang / Nanshan Industrial Park,Nanshan Industrial Park,KEK Galang Batang,Kawasan Industri Galang Batang,PT. Bintan Alumina Indonesia,Pt. Bintan Alumina Indonesia,,"https://www.gem.wiki/Nanshan_Industrial_Park_power_station
(Broken) https://www.nickelmagazine.com/2022/04/smelter-industrial-area.html?m=1
https://oss.go.id/informasi/lokasi-usaha?tab=kek&page=1
(Archived link, 7/25/22) https://web.archive.org/web/20220725105712/https://www2.bkpm.go.id/id/publikasi/detail/berita/kek-galang-batang-olah-bauksit-jadi-alumina
https://kepriprov.go.id/berita/pemprov-kepri/kek-galang-batang-dari-kepri-untuk-indonesia
https://kepri.antaranews.com/berita/133953/pma-investasi-rp30-triliun-di-kek-galang-batang-bintan
https://www.ekon.go.id/publikasi/detail/3605/presiden-joko-widodo-lepas-ekspor-perdana-tahun-2022-smelter-grade-alumina-di-kawasan-ekonomi-khusus-kek-galang-batang
https://kepri.antaranews.com/berita/149316/realisasi-investasi-di-kek-galang-batang-bintan-mencapai-rp19-triliun
https://m.batamtoday.com/berita-187713-DLHK-dan-ESDM-Kepri-Sebut-Cut-and-Fill-PT-BAI-di-Galang-Batang-Tak-Salahi-Aturan.html
https://www.hariankepri.com/pt-bai-akan-bangun-industri-amunisi-di-bintan-dan-pltu-1-200-megawatt/
https://www.alcircle.com/news/pln-agrees-to-supply-energy-to-pt-bintan-alumina-indonesia-until-2050-83509
https://www.reuters.com/markets/commodities/shandong-nanshan-may-expand-indonesia-site-into-6-bln-aluminium-complex-2023-05-15/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://web.pln.co.id/cms/media/2022/09/dukung-sektor-pertambangan-pln-akan-suplai-listrik-hingga-2050-untuk-pt-bintan-alumina-indonesia/"
Qingdao Indonesia Comprehensive Industrial Park / Hengshun Zhongsheng Industrial Park,Qingdao Indonesia Comprehensive Industrial Park,,Hengshun Zhongsheng Industrial Park,PT. Metal Smeltindo Selaras,Qingdao Hengshun Zhongsheng Group Co,,"https://www.gem.wiki/Qingdao_Zhongsheng_captive_power_station
https://wglh.com/stock/comment/1188078/
https://news.metal.com/newscontent/101008252/qingdao-indonesia-industrial-park-began-rkef-construction
(Broken) https://www.antaike.com/minormetal/content.php?id=101859
https://www.asiaminer.com/news/latest-news/9592-silkroad-nickel-signs-new-offtake-agreement-with-pt-transon-bumindo-resources.html#.Y8cEPnbML3E
https://www.yicaiglobal.com/news/hengshun-zhongsheng-sets-up-stainless-steel-industry-fund-to-import-indonesian-nickel
https://www.youtube.com/watch?v=Nf73XM4uBVU 
http://www.qdzzzc.com/en/News/288.html
https://news.metal.com/newscontent/101254441/qingdao-medium-range-in-the-future-the-company-will-gradually-carry-out-mining-and-sales-of-its-nickel-ore
https://www.chinacamphouse.com/cases/overview-of-indonesia-comprehensive-industrial-park-project-lida-group/
https://stock.us/stock/sz/300208/guidance/review
(Archived link 5/31/23) https://web.archive.org/web/20230531202448/https://www.qdzzzc.com/en/About/index.html
http://www.qdzzzc.com/en/Business/Development/index.html
(Broken) https://ir.p5w.net/c/300208.shtml"
